Timestamp,Age in years,Gender,Where do you live?,Occupation,Please indicate the highest level of education completed.,What is your current marital status?,Smartphone platform you use or prefer for mobile banking,Your monthly income,How often do you use mobile banking app?,What is the main benefits from mobile banking for you?,How convenient mobile banking to you?,Rate how secure mobile banking as you think?,Where did you hear about mobile banking ?,"Other than mobile banking, How do you typically make transactions ?",How much confidence do you have on mobile banking ( reliability ),How do you rate mobile banking user interface you currently have? ,Do you recommend mobile banking to your friend or family member?,Did you ever faced a unauthorized transaction on your mobile banking account?,"If so, did you able to resolve it through the customer support of the bank?",Rate the bill payment service provided through mobile banking app.,Rate the balance inquiry service provided through mobile banking app.
12/6/2020 22:55:06,20 - 30,Male,Uva Province,Student,AL,Single,Android,"Below 40,000",Rarely,Easy of use,3,4,Friend or family,ATM,3,1,Maybe,No,I didn't face such situation,3,3
12/6/2020 22:39:24,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",5,10,Friend or family,At Bank,3,5,Yes,No,I didn't face such situation,5,5
12/6/2020 22:40:23,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",Rarely,"Reduce time for transaction, Easy of use",4,8,From the bank itself,ATM,4,4,Yes,No,I didn't face such situation,4,4
12/6/2020 22:42:13,20 - 30,Male,Western Province,Student,Graduate,Single,Android,"Below 40,000",Rarely,"Reduce time for transaction, Cost effective, Easy of use",5,8,From the bank itself,Online Banking,4,4,Yes,No,I didn't face such situation,4,4
12/6/2020 22:42:55,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",When i want,"Reduce time for transaction, Cost effective, Easy of use",5,8,Friend or family,ATM,5,4,Yes,No,I didn't face such situation,4,4
12/6/2020 22:44:25,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",Everyday,Easy of use,4,7,TV / Radio / Newspaper,ATM,4,4,Yes,No,I didn't face such situation,4,5
12/7/2020 8:15:46,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",Rarely,Easy of use,4,9,Friend or family,ATM,4,4,Yes,No,I didn't face such situation,4,4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,"Faced unautharized 
transaction","Not faced unautharized 
transaction",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Female,5,42,47,,,,,,,,,,,,,,,,
,,Male,11,59,70,,,,,,,,,,,,,,,,
